ŹRÓDŁO z Baza_produktów,ŹRÓDŁO z Produkty,CEL (adres w 'Karta produktu')
,B{ROW},A14
A{ROW},,A19
D{ROW},,A22
C{ROW},,A38
J{ROW},,E99
K{ROW},,E101
L{ROW},,D108
M{ROW},,D110
N{ROW},,E117
O{ROW},,G117
P{ROW},,I117
Q{ROW},,E118
R{ROW},,G118
S{ROW},,I118
W{ROW},,E123
X{ROW},,H131
Y{ROW},,H132
Z{ROW},,H133
AA{ROW},,H134
AB{ROW},,H135
AC{ROW},,H136
AD{ROW},,H141
AE{ROW},,H142
AF{ROW},,H143
AG{ROW},,H144
AH{ROW},,H145
AI{ROW},,H146
AJ{ROW},,H147
,CO{ROW},A154
,AK{ROW},G215
,AL{ROW},G216
,AM{ROW},G217
,AN{ROW},G218
,AO{ROW},G219
,AP{ROW},G220
,AQ{ROW},G221
,AR{ROW},G222
AK{ROW},,E226
AL{ROW},,E227
AM{ROW},,E228
AN{ROW},,E229
AO{ROW},,E230
AP{ROW},,A235
AQ{ROW},,A246
AR{ROW},,A251
AS{ROW},,A258
T{ROW},,E119
U{ROW},,G119
V{ROW},,I119
